,mun_name,area,area_urban_percent,build_age_year,build_area_m2,build_rooms,build_type_com_ind_percent,build_type_mixed_percent,build_type_other_percent,build_type_res_MFH_percent,build_type_res_SFH_percent,cooling_days,dem_cool_kWh,dem_el_GWh,dem_heat_com_MWh,dem_heat_ind_MWh,dem_heat_res_MWh,electricity_price,employed_primary_percent,employed_secondary_percent,employed_tertiary_percent,employed_total,heat_fuel_air_percent,heat_fuel_electricity_percent,heat_fuel_gas_percent,heat_fuel_geo_percent,heat_fuel_oil_percent,heat_fuel_other_percent,heat_fuel_remoteheat_percent,heat_fuel_wood_percent,heat_type_boiler_percent,heat_type_electricity_percent,heat_type_heatexchanger_percent,heat_type_heatpump_percent,heat_type_other_percent,heat_type_oven_percent,heating_days,households_total,pop,pop_retired_percent,pop_working_percent,pop_young_percent,pot_el_PV_GWh,pot_el_wind_mps3,pot_en_bio_nonwood_TJ,pot_en_bio_wood_TJ,pot_he_wastewaterheat_MWh,sup_el_PV_kW,sup_el_biomass_kW,sup_el_gas_kW,sup_el_hydro_cont_kW,sup_el_hydro_div_kW,sup_el_hydro_drink_kW,sup_el_hydro_pump_kW,sup_el_hydro_store_kW,sup_el_waste_kW,sup_el_wastewater_kW,sup_el_wind_kW,vehicles_el_percent,vehicles_el_total
1853,Trin,4717,2.0,57.15243004418262,128.51010886469675,1.950375939849624,0.088235294117647,0.0658263305322128,0.0028011204481792,0.315126050420168,0.5280112044817927,19.2487180253061,0.0,7.3,1706.0,1738.0,10510.3,22.216667,0.1260504201680672,0.3753501400560224,0.4985994397759103,357.0,0.0056390977443609,0.0620300751879699,0.0018796992481203,0.0281954887218045,0.4342105263157895,0.037593984962406,0.0,0.4304511278195488,0.4378698224852071,0.0488165680473372,0.0,0.2544378698224852,0.0118343195266272,0.2470414201183432,285.815383911133,653.0,1468,20.2,60.7,19.1,22.16,0.0,4.07,12.11,1100.0,1439.78,0.0,0.0,0.0,12320.0,0.0,0.0,4320.0,0.0,0.0,0.0,2.5,20.0
1854,Trogen,1003,8.4,70.79383429672447,134.6274328081557,1.5685358255451711,0.4340309372156506,0.1483166515013649,0.0145586897179253,0.0782529572338489,0.3248407643312102,28.9333337148031,0.0,8.2,5504.0,779.0,10241.1,22.157242,0.0599793174767321,0.1582213029989658,0.781799379524302,967.0,0.0017985611510791,0.0431654676258992,0.0035971223021582,0.0017985611510791,0.2805755395683453,0.0017985611510791,0.2464028776978417,0.420863309352518,0.4340974212034384,0.0343839541547277,0.1948424068767908,0.2077363896848137,0.0,0.1289398280802292,230.044443766276,722.0,1867,19.5,58.4,22.1,20.81,60349.61739,11.45,23.63,2100.0,1899.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0
1855,Troinex,343,26.4,44.86495535714285,238.34679802955665,1.9624161073825503,0.2768472906403941,0.0364532019704433,0.0,0.1300492610837438,0.5566502463054187,72.700962893178,22807.59294,9.8,2942.9,3212.0,12120.0,23.836697,0.2703213610586011,0.1436672967863894,0.5860113421550095,529.0,0.0159574468085106,0.0443262411347517,0.601063829787234,0.0088652482269503,0.2960992907801418,0.0053191489361702,0.0035460992907801,0.0248226950354609,0.6750663129973474,0.03315649867374,0.0013262599469496,0.2718832891246684,0.0013262599469496,0.0172413793103448,189.363575271989,877.0,2591,15.6,60.2,24.2,38.59,0.0,4.38,3.42,0.0,813.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,43.0
1856,Troistorrents,3696,7.3,56.10091560509554,118.94506310319228,1.7340297308155883,0.1177536231884057,0.0659420289855072,0.0039855072463768,0.1989130434782608,0.6134057971014493,24.4433331489563,0.0,19.8,7510.1,644.0,37235.4,27.7828,0.0475113122171945,0.256787330316742,0.6957013574660633,884.0,0.0161662817551963,0.2448036951501154,0.0120092378752886,0.0036951501154734,0.4424942263279445,0.0036951501154734,0.0087759815242494,0.2683602771362586,0.4105011933174224,0.2100238663484487,0.0071599045346062,0.1583134447096261,0.0011933174224343,0.2128082736674622,250.213333129883,2071.0,4813,18.6,60.9,20.5,73.15,210211.6542,7.62,30.68,3900.0,3406.03,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,62.0
1857,Trub,6199,2.3,76.45594525235244,150.77243816254418,1.44258872651357,0.602681721947777,0.1863091037402964,0.07833450952717,0.0529287226534933,0.0797459421312632,31.3543858779104,0.0,6.6,1471.2,735.0,2536.9,22.541594,0.5652866242038217,0.2340764331210191,0.2006369426751592,628.0,0.0189473684210526,0.0189473684210526,0.0,0.0021052631578947,0.1326315789473684,0.0084210526315789,0.0021052631578947,0.8168421052631579,0.6804123711340206,0.0144329896907216,0.002061855670103,0.0412371134020618,0.0164948453608247,0.245360824742268,237.394738448294,501.0,1310,19.7,57.3,23.0,27.96,48545.54647,16.93,113.48,0.0,1614.16,59.8,0.0,0.0,36.0,0.0,0.0,6.0,0.0,0.0,0.0,0.3,2.0
1858,Trubschachen,1565,4.9,66.88888888888889,165.2883939038687,1.9365853658536585,0.541135573580533,0.1564310544611819,0.0173812282734646,0.1286210892236384,0.1564310544611819,35.2999992370605,834.950017,12.5,2308.5,21410.0,5922.3,22.541594,0.1315280464216634,0.6247582205029013,0.2437137330754352,1034.0,0.0306406685236768,0.0779944289693593,0.0027855153203342,0.0027855153203342,0.3649025069637883,0.0167130919220055,0.0027855153203342,0.5013927576601671,0.6536585365853659,0.0682926829268292,0.0024390243902439,0.1585365853658536,0.0146341463414634,0.1024390243902439,236.600001017253,594.0,1483,24.1,56.2,19.7,18.21,64972.89596,19.9,42.38,0.0,1491.18,1120.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,15.0
1859,Trun,5190,2.0,76.86548223350253,134.51560178306093,1.7340425531914894,0.1938325991189427,0.0704845814977973,0.0102790014684287,0.2569750367107195,0.4684287812041116,16.000000141561,0.0,8.2,3150.3,919.0,9545.5,22.72,0.114334470989761,0.1996587030716723,0.6860068259385665,586.0,0.0076190476190476,0.04,0.0019047619047619,0.0304761904761904,0.3314285714285714,0.0152380952380952,0.0057142857142857,0.5676190476190476,0.4172535211267605,0.0369718309859154,0.0035211267605633,0.1197183098591549,0.0070422535211267,0.4154929577464789,284.005554199219,521.0,1163,25.5,59.0,15.5,32.71,107.5986805,14.58,21.4,1900.0,2243.4,0.0,0.0,1200.0,7200.0,409.0,0.0,0.0,0.0,0.0,0.0,1.6,11.0
1860,Truttikon,441,6.4,62.5859649122807,144.27302631578948,1.2760736196319018,0.4469453376205787,0.1028938906752411,0.0385852090032154,0.067524115755627,0.3440514469453376,64.8680543796614,0.0,2.0,433.6,0.0,2596.4,19.534,0.452991452991453,0.2136752136752136,0.3333333333333333,117.0,0.0512820512820512,0.017094017094017,0.0,0.0085470085470085,0.5213675213675214,0.0,0.0,0.4017094017094017,0.5426829268292683,0.0121951219512195,0.0,0.3414634146341463,0.0,0.1036585365853658,196.517137717787,182.0,451,18.4,59.8,21.8,8.45,0.0,2.07,6.35,0.0,514.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0
1861,Trélex,577,14.7,44.66514459665144,112.03183023872678,1.3697104677060137,0.3989431968295905,0.0330250990752972,0.0066050198150594,0.095112285336856,0.4663143989431968,66.3833351135254,0.0,5.8,1657.7,0.0,8665.4,28.4028,0.1144278606965174,0.2139303482587064,0.6716417910447762,201.0,0.0346820809248554,0.2485549132947976,0.0202312138728323,0.0086705202312138,0.5953757225433526,0.0115606936416184,0.0144508670520231,0.0664739884393063,0.5,0.1869565217391304,0.0108695652173913,0.2804347826086956,0.008695652173913,0.0130434782608695,188.483337402344,518.0,1443,14.7,61.9,23.4,16.13,0.0,9.84,8.95,0.0,1588.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,28.0
1862,Trüllikon,956,8.7,67.55259467040673,139.56064356435644,1.4066496163682864,0.5073349633251834,0.1075794621026894,0.0293398533007334,0.0611246943765281,0.2946210268948655,64.5833320617676,10077.19432,5.3,1357.6,996.0,6529.0,19.534,0.2944983818770226,0.2880258899676375,0.4174757281553398,309.0,0.006578947368421,0.0855263157894736,0.0032894736842105,0.0032894736842105,0.5723684210526315,0.0,0.0,0.3289473684210526,0.6227390180878553,0.0671834625322997,0.0,0.2222222222222222,0.0,0.0878552971576227,196.433334350586,467.0,1060,23.8,56.6,19.6,18.03,27086.73798,8.49,13.97,0.0,2012.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,20.0
